id,link,ROUTE,MILEPOINTER,FROM,TO,LON,LAT,Route ID
0,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/0.png,1,5.6,0,11.2,-116.4182053,48.95933914,01580ASH001
1,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/1.png,2,14.26,0,28.52,-116.7610779,48.16854477,01590AUS002
2,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/2.png,2,57.3,34.4,80.2,-116.298912,48.73126602,01590AUS002
3,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/3.png,2,72.28,64.38,80.18,-116.1382904,48.72370529,01590AUS002
4,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/4.png,2,75.09,70,80.18,-116.1055832,48.6902771,01590AUS002
5,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/5.png,3,53.12,48.24,58,-116.2700577,47.00199509,01800ASH003
6,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/6.png,3,106.4,95.12,117.68,-116.5761566,47.47328568,01800ASH003
7,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/7.png,3,99.9,95.7,104.1,-116.6281052,47.42955399,01800ASH003
8,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/8.png,3,110.85,104.1,117.6,-116.5184326,47.51496506,01800ASH003
9,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/9.png,5,8.9,0,17.8,-116.723175,47.34643173,01820ASH005
10,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/10.png,5,11.25,4.5,18,-116.6870575,47.3403244,01820ASH005
11,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/11.png,6,31.85,28.7,35,-116.5490265,47.14861679,01850ASH006
12,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/12.png,7,42.825,36.78,48.87,-116.269165,46.45784378,01920ASH007
14,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/14.png,20,356.5,353,360,-111.5036011,44.02444839,02070AUS020
15,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/15.png,21,30.52,21.99,39.05,-115.9315948,43.73828888,02140ASH021
16,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/16.png,22,46.605,24.68,68.53,-112.6340561,44.07016373,02470ASH022
17,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/17.png,26,375.5,349,402,-111.3660584,43.45141983,02240AUS026
18,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/18.png,26,395,388,402,-111.1142883,43.27242661,02240AUS026
19,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/19.png,29,6.8,0,13.6,-113.2701111,44.74324036,02510ASH029
20,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/20.png,32,14,0,28,-111.2651443,43.97086334,02480ASH032
21,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/21.png,33,29.5,0,59,-112.7458038,43.79733276,02460ASH033
22,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/22.png,33,69,59,79,-111.9934464,43.82692337,02460ASH033
23,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/23.png,33,116.5,78,155,-111.4306488,43.85422134,02460ASH033
24,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/24.png,33,127.5,100,155,-111.2480774,43.83171082,02460ASH033
25,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/25.png,33,120.475,100,140.95,-111.3595963,43.87897873,02460ASH033
26,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/26.png,33,118.5,106,131,-111.3963928,43.86762619,02460ASH033
27,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/27.png,36,11,0,22,-111.7039413,42.27610016,02370ASH036
28,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/28.png,36,4.5,4,5,-111.7630081,42.20232391,02370ASH036
29,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/29.png,36,110.775,100,121.55,-112.1255875,42.13331223,02370ASH036
30,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/30.png,38,11.72,0,23.44,-112.4396133,42.16556549,02320ASH038
31,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/31.png,41,23.39,7.72,39.06,-116.9230423,48.00621414,01630ASH041
32,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/32.png,47,3.5,0,7,-111.3858337,44.07121658,02490ASH047
33,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/33.png,48,12,0,24,-111.9709091,43.6699295,02440ASH048
34,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/34.png,48,6.965,0.78,13.15,-112.0032272,43.71854019,02440ASH048
35,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/35.png,53,7.12,0,14.24,-116.9216309,47.79796982,01650ASH053
36,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/36.png,53,4.684,0,9.368,-116.9604568,47.77545166,01650ASH053
38,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/38.png,53,11.956,9.672,14.24,-116.8301926,47.81719971,01650ASH053
39,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/39.png,54,3.95,0,7.9,-116.7826462,47.94789886,01640ASH054
40,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/40.png,54,7.7425,0,15.485,-116.7030106,47.94781113,01640ASH054
41,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/41.png,57,18.35,0,36.7,-116.9585266,48.41091537,01620ASH057
42,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/42.png,57,11.25,0,22.5,-116.9818497,48.31692886,01620ASH057
43,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/43.png,57,29.865,22.5,37.23,-116.9449158,48.54232025,01620ASH057
44,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/44.png,87,4.57,0,9.14,-111.4003525,44.66965485,02520ASH087
45,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/45.png,95,29.9,26.3,33.5,-116.9142914,43.56162643,01540AUS095
46,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/46.png,95,524.55,510.6,538.5,-116.3487549,48.91559219,01540AUS095
47,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/47.png,95,532.28,526,538.56,-116.2129669,48.96580505,01540AUS095
48,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/48.png,97,78.6,60.8,96.4,-116.7750015,47.53626633,01790ASH097
50,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/50.png,162,15.53,8,23.06,-116.0886612,46.14339828,01950ASH162
51,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/51.png,200,46.43,29.74,63.12,-116.2902298,48.23836899,01610ASH200
52,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/52.png,200,54.485,46,62.97,-116.1848602,48.1526947,01610ASH200
53,https://apps.itd.idaho.gov/apps/dataanalytics/SpringBreakupReports/53.png,200,58.31,53.95,62.67,-116.1363907,48.1107254,01610ASH200
